Name,URL
Delete team member from teamdelete,https://developers.miro.com/reference/enterprise-delete-team-member
Reset all sessions of a user,https://developers.miro.com/reference/enterprise-post-user-sessions-reset
Reset all sessions of a userpost,https://developers.miro.com/reference/enterprise-post-user-sessions-reset
Board classification: Organization level,https://developers.miro.com/reference/enterprise-dataclassification-organization-settings-get
Get organization settingsget,https://developers.miro.com/reference/enterprise-dataclassification-organization-settings-get
Board classification: Team level,https://developers.miro.com/reference/enterprise-dataclassification-team-boards-bulk
Bulk update boards classificationpatch,https://developers.miro.com/reference/enterprise-dataclassification-team-boards-bulk
Get team settingsget,https://developers.miro.com/reference/enterprise-dataclassification-team-settings-get
Update team settingspatch,https://developers.miro.com/reference/enterprise-dataclassification-team-settings-set
Board classification: Board level,https://developers.miro.com/reference/enterprise-dataclassification-board-get
Get board classificationget,https://developers.miro.com/reference/enterprise-dataclassification-board-get
Update board classificationpost,https://developers.miro.com/reference/enterprise-dataclassification-board-set
Audit Logs,https://developers.miro.com/reference/audit-logs
Get audit logsget,https://developers.miro.com/reference/enterprise-get-audit-logs
Board Export,https://developers.miro.com/reference/board-export
Create board export jobpost,https://developers.miro.com/reference/enterprise-create-board-export
Get board export job statusget,https://developers.miro.com/reference/enterprise-board-export-job-status
Get results for board export jobget,https://developers.miro.com/reference/enterprise-board-export-job-results
Board Content Logs,https://developers.miro.com/reference/board-content-logs
Retrieve content change logs of board itemsget,https://developers.miro.com/reference/enterprise-board-content-item-logs-fetch
Legal holds,https://developers.miro.com/reference/legal-hold
Get all casesget,https://developers.miro.com/reference/get-all-cases
Get caseget,https://developers.miro.com/reference/get-case
Get all legal holds within a caseget,https://developers.miro.com/reference/get-all-legal-holds
Get legal hold informationget,https://developers.miro.com/reference/get-legal-hold
Get content items under legal holdget,https://developers.miro.com/reference/get-legal-hold-content-items
scopes,https://developers.miro.com/reference/scopes
Create authorization request link,https://developers.miro.com/reference/create-authorization-request-link
Request user for authorization,https://developers.miro.com/reference/request-user-for-authorization
Exchange authorization code with access token,https://developers.miro.com/reference/exchange-authorization-code-with-access-token
Use access token for REST API requests,https://developers.miro.com/reference/use-access-token-for-rest-api-requests
expiring access tokens,https://developers.miro.com/reference/authorization-flow-for-expiring-access-tokens
Get new access token using refresh token,https://developers.miro.com/reference/get-new-access-token-using-refresh-token
Get access token context,https://developers.miro.com/reference/get-non-expired-access-token-context
Revoke token,https://developers.miro.com/reference/revoke-token
an expiring access token,https://developers.miro.com/reference/authorization-flow-for-expiring-tokens
authorization flow for expiring tokens,https://developers.miro.com/reference/authorization-flow-for-expiring-tokens
authorization flow for non-expiring access tokens,https://developers.miro.com/reference/authorization-flow-for-expiring-access-tokens
Table of Contents,https://developers.miro.com/reference/overview#
Prerequisites,https://developers.miro.com/reference/overview#prerequisites
OAuth authorization code flow,https://developers.miro.com/reference/overview#oauth-authorization-code-flow
Use an expiring access token,https://developers.miro.com/reference/overview#use-an-expiring-access-token
Use a non-expiring access token,https://developers.miro.com/reference/overview#use-a-non-expiring-access-token
App metrics (experimental),https://developers.miro.com/reference/app-metrics-experimental-1
Webhooks (experimental),https://developers.miro.com/reference/webhooks-experimental
Mind map nodes (experimental),https://developers.miro.com/reference/mind-map-nodes-experimental
Flowchart shapes (experimental),https://developers.miro.com/reference/flowchart-shapes-experimental
Projects,https://developers.miro.com/reference/projects
Project Settings,https://developers.miro.com/reference/project-settings
Project Members,https://developers.miro.com/reference/project-members
Organizations,https://developers.miro.com/reference/organizations
Organization Members,https://developers.miro.com/reference/organization-members
Teams,https://developers.miro.com/reference/teams
Team Settings,https://developers.miro.com/reference/team-settings
Team Members,https://developers.miro.com/reference/team-members
Reset all sessions of a user,https://developers.miro.com/reference/reset-all-sessions-of-a-user
Board classification: Organization level,https://developers.miro.com/reference/board-classification-organization-level
Board classification: Team level,https://developers.miro.com/reference/board-classification-team-level
Board classification: Board level,https://developers.miro.com/reference/board-classification-board-level


_____
# How to add iFrames
It's not possible to set data.html in the request. This field is returned in the response as read-only.

The embed item is rendered on the board inside an iframe.

Below you can find examples of payload body, cURL request and corresponding response.

In the request, replace the <BOARD-ID> and <ACCESS-TOKEN> placeholders with actual, valid values for board ID and app access token.
The app the access token refers to must be running when you send the request.
If the embed has fixed aspect ratio, you can pass either width,  or height, but not both at the same time.
The missing dimension in the request is calculated automatically to keep the aspect ratio of the embed.
The payload example below includes all the fields you can pass, except from height.
In the payload body, data.url is the only required field.
Payload body example

{
  "data": {
    "url": "https://www.youtube.com/watch?v=ifDJgNlg3sc",
    "mode": "modal",
    "previewUrl": "https://images.rawpixel.com/image_1300/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcm0zOTEtYmxvZ2Jhbm5lci0wMS5qcGc.jpg"
  },
  "position": {
    "x": 3
    "y": -400,
    "origin": "center"
  },
  "geometry": {
    "width": 800
  }
}

CURL request

curl --request POST \
     --url https://api.miro.com/v2/boards/<BOARD-ID>/embeds \
     --header 'Accept: application/json' \
     --header 'Authorization: Bearer <ACCESS-TOKEN>' \
     --header 'Content-Type: application/json' \
     --data '
{
     "data": {
          "url": "https://www.youtube.com/watch?v=ifDJgNlg3sc",
          "mode": "modal",
          "previewUrl": "https://images.rawpixel.com/image_1300/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcm0zOTEtYmxvZ2Jhbm5lci0wMS5qcGc.jpg"
     },
     "position": {
          "origin": "center",
          "x": 3700,
          "y": -300
     },
     "geometry": {
          "width": 800
     }
}'
 

JSON response

In the response, data.mode and data.url are set as per corresponding REST API request.
All other data.* fields in the response data object are fetched from the resource provider (in this case: YouTube), and are read-only.

{
  "id": "3458764532406641234",
  "type": "embed",
